""|"52 week"|"Beta"|"CDP Score"|"Div/yield"|"EBITD margin"|"EPS"|"Employees"|"Inst. own"|"Mkt cap"|"Net profit margin"|"Open"|"Operating margin"|"P/E"|"Range"|"Return on average assets"|"Return on average equity"|"Shares"|"Vol / Avg."|"Vol."|"address"|"city"|"companyName"|"companySummary"|"exchange"|"management"|"state"|"symbol"|"website"|"zip"
"33"|"98.25 - 265.56"|"1.60"|"-"|"    -"|"-"|"-1.29"|"9,372"|"91%"|"15.85B"|"-0.92%"|"117.55"|"-1.84%"|"    -"|"115.49 - 117.70"|"-0.46%"|"-0.77%"|"116.51M"|"1.54M/2.75M"|""|"2029 Stierlin Ct"|"MOUNTAIN VIEW"|"LinkedIn Corp"|""|" NYSE"|""|"CA"|"LNKD"|"http://www.linkedin.com/"|"94043-4655"
"34"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"MassDrop"|""|""|""|""|""|""|""
"35"|"19.44 - 34.75"|"0.84"|"-"|"0.38/4.50"|"-"|"1.08"|"31,000"|"109%"|"11.60B"|"10.76%"|"33.35"|"14.70%"|"31.35"|"33.19 - 33.81"|"13.07%"|"33.03%"|"340.33M"|"3.16M/4.00M"|""|"333 CONTINENTAL BLVD"|"EL SEGUNDO"|"Mattel, Inc."|""|" NASDAQ"|""|"CA"|"MAT"|"http://www.mattel.com"|"90245"
"36"|"148.29 - 243.61"|"0.91"|"-"|"0.28/0.65"|"-"|"9.56"|"70,400"|"86%"|"40.74B"|"1.34%"|"169.09"|"1.92%"|"18.07"|"168.66 - 172.80"|"4.64%"|"28.57%"|"229.00M"|"2.33M/1.46M"|""|"1 Post St"|"SAN FRANCISCO"|"McKesson Corporation"|""|" NYSE"|""|"CA"|"MCK"|"http://www.mckesson.com"|"94104-5203"
"37"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Mesosphere"|""|""|""|""|""|""|""
"38"|"48.00 - 82.37"|"1.75"|"-"|"    -"|"-"|"2.60"|"21,000"|"97%"|"3.42B"|"0.77%"|"61.72"|"1.97%"|"23.52"|"60.94 - 62.10"|"1.90%"|"7.73%"|"56.59M"|"906,127.00/674,074.00"|""|"200 Oceangate Ste 100"|"LONG BEACH"|"Molina Healthcare, Inc."|""|" NYSE"|""|"CA"|"MOH"|"http://www.molinahealthcare.com"|"90802-4317"
"39"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"MongoDB"|""|""|""|""|""|""|""
"40"|"8.06 - 15.91"|"    -"|"-"|"    -"|"-"|"-0.64"|"1,449"|"116%"|"4.59B"|"-12.90%"|"14.85"|"-12.38%"|"    -"|"14.18 - 14.87"|"-25.95%"|"-281.26%"|"31.72M"|"2.41M/3.18M"|""|"901 Mission St Ste 104"|"SAN FRANCISCO"|"Square Inc"|""|" NYSE"|""|"CA"|"SQ"|"https://squareup.com/"|"94103-3053"
"41"|"8.91 - 14.82"|"1.69"|"-"|"0.12/3.96"|"-"|"2.21"|"287,000"|"82%"|"21.43B"|"5.31%"|"12.57"|"7.58%"|"5.66"|"12.50 - 12.71"|"3.94%"|"22.81%"|"1.73B"|"12.49M/14.46M"|""|"1501 Page Mill Rd"|"PALO ALTO"|"HP Inc"|""|" NYSE"|""|"CA"|"HPQ"|"http://www.hp.com/"|"94304-1126"
"42"|"27.93 - 67.50"|"    -"|"-"|"    -"|"-"|"-1.82"|"1,055"|"106%"|"1.76B"|"-35.73%"|"    -"|"-33.07%"|"    -"|"    -"|"-14.78%"|"-26.12%"|"37.81M"|"0.00/757,375.00"|""|"535 Mission Street, Suite 700"|"SAN FRANCISCO"|"Trulia Inc"|""|" NYSE"|""|"CA"|"TRLA"|"http://www.trulia.com"|"94105"
"43"|"20.66 - 37.07"|"1.67"|"-"|"0.18/2.87"|"-"|"1.24"|"12,810"|"99%"|"6.83B"|"11.04%"|"25.64"|"11.90%"|"20.28"|"25.06 - 25.64"|"7.05%"|"20.13%"|"289.08M"|"3.16M/2.95M"|""|"495 E Java Dr"|"SUNNYVALE"|"NetApp Inc."|""|" NASDAQ"|""|"CA"|"NTAP"|"http://www.netapp.com"|"94089-1125"
"44"|"51.75 - 102.46"|"1.71"|"-"|"    -"|"-"|"-1.59"|"4,603"|"60%"|"5.66B"|"-15.71%"|"71.41"|"-13.34%"|"    -"|"69.94 - 71.83"|"-11.63%"|"-42.13%"|"79.98M"|"680,623.00/457,761.00"|""|"2955 Campus Dr Ste 100"|"SAN MATEO"|"NetSuite Inc"|""|" NYSE"|""|"CA"|"N"|"http://www.netsuite.com"|"94403-2539"
"45"|"78.89 - 133.27"|"1.67"|"-"|"    -"|"-"|"0.28"|"3,500"|"85%"|"48.55B"|"2.37%"|"110.64"|"3.28%"|"397.13"|"109.78 - 111.85"|"1.72%"|"7.89%"|"428.08M"|"11.75M/12.83M"|""|"100 Winchester Cir"|"LOS GATOS"|"Netflix, Inc."|""|" NASDAQ"|""|"CA"|"NFLX"|"http://www.netflix.com"|"95032-1815"
"46"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Nitrious.io"|""|""|""|""|""|""|""
"47"|"25.06 - 40.80"|"0.66"|"-"|"    -"|"-"|"0.84"|"1,451"|"99%"|"996.13M"|"5.87%"|"27.35"|"9.19%"|"33.22"|"27.24 - 27.86"|"5.31%"|"7.73%"|"35.83M"|"112,934.00/206,067.00"|""|"590 E Middlefield Rd"|"MOUNTAIN VIEW"|"Omnicell, Inc."|""|" NASDAQ"|""|"CA"|"OMCL"|"http://www.omnicell.com"|"94043-4008"
"48"|"33.13 - 45.24"|"1.15"|"-"|"0.15/1.46"|"-"|"2.03"|"132,000"|"61%"|"169.03B"|"23.77%"|"41.12"|"33.59%"|"20.25"|"41.02 - 41.38"|"8.13%"|"18.72%"|"4.15B"|"10.34M/14.62M"|""|"500 Oracle Pkwy"|"REDWOOD CITY"|"Oracle Corporation"|""|" NYSE"|""|"CA"|"ORCL"|"http://www.oracle.com/index.html"|"94065-1677"
"49"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Palantir"|""|""|""|""|""|""|""
"50"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Pinterest"|""|""|""|""|""|""|""
"51"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"PluralSight"|""|""|""|""|""|""|""
"52"|"11.05 - 20.60"|"    -"|"-"|"    -"|"-"|"-1.60"|"1,300"|"31%"|"2.67B"|"-29.48%"|"14.61"|"-28.58%"|"    -"|"14.13 - 14.64"|"-21.04%"|"-30.97%"|"192.11M"|"1.61M/1.56M"|""|"650 Castro St Ste 400"|"MOUNTAIN VIEW"|"Pure Storage Inc"|""|" NYSE"|""|"CA"|"PSTG"|"https://www.purestorage.com/"|"94041-2081"
"53"|"12.00 - 17.95"|"0.54"|"-"|"0.17/4.84"|"-"|"0.54"|"2,915"|"77%"|"888.39M"|"6.24%"|"14.16"|"7.21%"|"27.02"|"14.16 - 14.55"|"6.74%"|"10.24%"|"60.89M"|"456,222.00/430,808.00"|""|"Suite 700, 18111 Von Karman Avenue"|"IRVINE"|"Quality Systems, Inc."|""|" NASDAQ"|""|"CA"|"QSII"|"http://www.qsii.com"|"92612"
"54"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Riot+Games"|""|""|""|""|""|""|""
"55"|"36.17 - 60.02"|"1.32"|"-"|"0.22/1.94"|"-"|"2.69"|"16,100"|"88%"|"5.96B"|"7.16%"|"45.83"|"11.05%"|"16.84"|"45.07 - 45.83"|"21.93%"|"37.29%"|"131.16M"|"1.50M/1.15M"|""|"2884 Sand Hill Rd Ste 200"|"MENLO PARK"|"Robert Half International Inc."|""|" NYSE"|""|"CA"|"RHI"|"http://www.rhi.com/"|"94025-7072"
"56"|"21.51 - 35.72"|"1.60"|"-"|"0.06/0.84"|"-"|"1.03"|"15,300"|"80%"|"37.58B"|"24.09%"|"29.10"|"37.35%"|"27.76"|"28.42 - 29.18"|"0.94%"|"12.80%"|"1.32B"|"12.25M/8.60M"|""|"211 Main St"|"SAN FRANCISCO"|"Charles Schwab Corp"|""|" NYSE"|""|"CA"|"SCHW"|"http://www.aboutschwab.com/"|"94105-1905"
"57"|"44.28 - 78.83"|"1.93"|"-"|"0.30/1.58"|"-"|"1.85"|"8,790"|"92%"|"15.17B"|"8.78%"|"75.98"|"14.13%"|"40.96"|"75.52 - 76.04"|"5.94%"|"9.56%"|"202.91M"|"3.31M/3.59M"|""|"951 SanDisk Drive"|"MILPITAS"|"SanDisk Corporation"|""|" NASDAQ"|""|"CA"|"SNDK"|"http://www.sandisk.com/"|"95035"
"58"|"16.31 - 25.64"|"1.75"|"-"|"    -"|"-"|"4.56"|"43,854"|"98%"|"1.66B"|"1.77%"|"22.26"|"3.52%"|"4.86"|"21.97 - 22.69"|"3.14%"|"7.14%"|"77.18M"|"404,376.00/477,827.00"|""|"2700 N 1st St"|"SAN JOSE"|"Sanmina Corp"|""|" NASDAQ"|""|"CA"|"SANM"|"http://www.sanmina.com"|"95134-2015"
"59"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Sealsoft"|""|""|""|""|""|""|""
"60"|"29.85 - 76.85"|"1.99"|"-"|"    -"|"-"|"-2.20"|"2,100"|"101%"|"6.64B"|"-36.05%"|"49.37"|"-35.92%"|"    -"|"48.98 - 50.00"|"-21.82%"|"-37.42%"|"132.38M"|"716,648.00/1.41M"|""|"250 Brannan St"|"SAN FRANCISCO"|"Splunk Inc"|""|" NASDAQ"|""|"CA"|"SPLK"|"http://www.splunk.com"|"94107-2007"
"61"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Survey+Monkey"|""|""|""|""|""|""|""
"62"|"16.14 - 26.16"|"1.15"|"-"|"4.00/3.33"|"-"|"0.54"|"19,000"|"96%"|"11.69B"|"12.54%"|"17.92"|"16.06%"|"33.46"|"17.85 - 18.17"|"3.75%"|"8.10%"|"652.22M"|"6.31M/9.20M"|""|"350 Ellis St"|"MOUNTAIN VIEW"|"Symantec Corporation"|""|" NASDAQ"|""|"CA"|"SYMC"|"http://www.symantec.com"|"94043-2202"
